,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0071479,GO:0071479,cellular response to ionizing radiation,11/1349,84/28928,0.130952381,2.808147128,3.670405786,0.001778715,0.011740025,0.009143263,Rad1/Rad51/Rad9a/Ino80/Grb2/Hus1/Ect2/Brca1/Nipbl/H2aj/Atr,11
GO:0006346,GO:0006346,DNA methylation-dependent heterochromatin formation,8/1349,49/28928,0.163265306,3.50106655,3.875258055,0.001795456,0.01183369,0.009216211,Smarca5/Kmt2b/Dnmt1/Ctcf/Kmt2a/Dyrk1a/Trim28/Resf1,8
GO:0034284,GO:0034284,response to monosaccharide,24/1349,268/28928,0.089552239,1.92036113,3.347772887,0.001805333,0.01188191,0.009253766,Ogt/Glul/Eif2b2/Rab34/Sin3a/Twnk/Rack1/Sod2/Eif2b5/Eif2b4/Eif2b3/Smarca4/Birc5/Rptor/Mup1/Gclc/Pik3ca/Kat5/Hmga1/Gclm/Eif2b1/Hcfc1/Rac1/Smarcb1,24
GO:0006123,GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",5/1349,20/28928,0.25,5.361008154,4.314806147,0.001886684,0.012364707,0.009629773,Cox5b/Cox7b/Cox8a/Cycs/Cox5a,5
GO:0032785,GO:0032785,"negative regulation of DNA-templated transcription, elongation",5/1349,20/28928,0.25,5.361008154,4.314806147,0.001886684,0.012364707,0.009629773,Wdr82/Nelfcd/Hnrnpu/Eapp/Supt5,5
GO:0046755,GO:0046755,viral budding,5/1349,20/28928,0.25,5.361008154,4.314806147,0.001886684,0.012364707,0.009629773,Chmp6/Chmp4b/Tsg101/Chmp3/Chmp7,5
GO:0009615,GO:0009615,response to virus,33/1349,412/28928,0.080097087,1.717604554,3.244575664,0.001910378,0.01250233,0.009736955,Rps15a/Polr3h/Ddx56/Polr3b/Ncbp1/Rpsa/Cct5/Sin3a/Smarca5/Atad3a/Ddx41/Polr3f/Prkra/Gli2/Skp2/Gbf1/Dhx16/Eef1g/Ext1/Crcp/Ube2n/Polr3e/Sap30bp/Polr3d/Dicer1/Polr3k/Traf3ip1/Psma2/Dhx36/Chmp3/Exosc5/C1qbp/Trim28,33
GO:1990403,GO:1990403,embryonic brain development,6/1349,29/28928,0.206896552,4.436696403,4.095125116,0.001916823,0.01252684,0.009756044,Med12/Rpl10/Ift140/Cdc40/Ttbk2/Cc2d2a,6
GO:0009749,GO:0009749,response to glucose,23/1349,254/28928,0.090551181,1.941782481,3.334200717,0.001926236,0.012570652,0.009790165,Ogt/Glul/Eif2b2/Rab34/Sin3a/Twnk/Rack1/Eif2b5/Eif2b4/Eif2b3/Smarca4/Birc5/Rptor/Mup1/Gclc/Pik3ca/Kat5/Hmga1/Gclm/Eif2b1/Hcfc1/Rac1/Smarcb1,23
GO:0007164,GO:0007164,establishment of tissue polarity,7/1349,39/28928,0.179487179,3.848928931,3.937459319,0.001957327,0.012737725,0.009920284,Wdr1/Fuz/Rpgrip1l/Ift20/Wdpcp/Cplane1/Ttc8,7
GO:0045023,GO:0045023,G0 to G1 transition,7/1349,39/28928,0.179487179,3.848928931,3.937459319,0.001957327,0.012737725,0.009920284,Rrm1/Actl6a/Orc1/Smarca4/Smarce1/Ccnc/Smarcb1,7
GO:0090102,GO:0090102,cochlea development,9/1349,61/28928,0.147540984,3.163873665,3.741660748,0.001976198,0.012842518,0.010001898,Sox9/Ccna2/Gli2/Rpgrip1l/Ift88/Ift20/Ift27/Mcm2/Rac1,9
GO:2001244,GO:2001244,positive regulation of intrinsic apoptotic signaling pathway,10/1349,73/28928,0.136986301,2.937538715,3.665807834,0.00201444,0.013066434,0.010176286,Rps7/Rad9a/Rps3/Rack1/Prkra/Dnm1l/Sfpq/Taf6/Sod1/Mcl1,10
GO:1901874,GO:1901874,negative regulation of post-translational protein modification,12/1349,98/28928,0.12244898,2.625799912,3.56554751,0.002016286,0.013066434,0.010176286,Ogt/Rps7/Rps3/Rpl5/Gtpbp4/Mtor/Mad2l1/Gclc/U2af2/Fbxo5/Gnl3l/Caml,12
GO:0031047,GO:0031047,regulatory ncRNA-mediated gene silencing,20/1349,210/28928,0.095238095,2.042288821,3.3526564,0.002045999,0.013240497,0.010311848,Drosha/Ncbp2/Ncbp1/Hnrnpk/Nup155/Elob/Clp1/Spout1/Prkra/Hnrnpu/Pabpc1/Ddx5/Xpo5/Zc3h10/Snip1/Dicer1/Nrde2/Dgcr8/Ago2/Cnot3,20
GO:0051648,GO:0051648,vesicle localization,21/1349,225/28928,0.093333333,2.001443044,3.33520308,0.002055898,0.013286026,0.010347306,Trappc1/Trappc4/Hgs/Snf8/Trappc11/Gbf1/Cul3/Exoc7/Exoc1/Exoc8/Trappc5/Sec16a/Ykt6/Stk11/Tsg101/Fgfr2/Preb/Ahi1/Dctn2/Trappc3/Fbxw11,21
GO:0035148,GO:0035148,tube formation,18/1349,181/28928,0.099447514,2.13255573,3.380422781,0.002084101,0.013449555,0.010474665,Sox9/Nfib/Med12/Rps7/Fuz/Stil/Lias/Tctn1/Bbs4/Ift172/Ift57/Opa1/Ift52/Ift122/Fgfr2/Cc2d2a/Brpf1/Brd2,18
GO:0072175,GO:0072175,epithelial tube formation,17/1349,167/28928,0.101796407,2.182925476,3.390642839,0.002134924,0.013758401,0.010715198,Sox9/Med12/Rps7/Fuz/Stil/Lias/Tctn1/Bbs4/Ift172/Ift57/Opa1/Ift52/Ift122/Fgfr2/Cc2d2a/Brpf1/Brd2,17
GO:0021549,GO:0021549,cerebellum development,15/1349,139/28928,0.107913669,2.314104239,3.434727931,0.002155227,0.013869975,0.010802092,Hspa5/Ptpn11/Smo/Ttc21b/Clp1/Gli2/Rpgrip1l/Gli1/Usp9x/Cplane1/Mtpn/Pfdn1/Ttbk2/Uqcrq/Ogdh,15
GO:0032507,GO:0032507,maintenance of protein location in cell,10/1349,74/28928,0.135135135,2.897842246,3.615275275,0.002233728,0.014355258,0.011180036,Rangap1/Hspa5/Skp1/Hnrnpu/Bbs4/Hdac3/Txn1/Arl2/Taf8/Taf3,10
GO:0001838,GO:0001838,embryonic epithelial tube formation,16/1349,154/28928,0.103896104,2.227951441,3.379168507,0.00230992,0.014824384,0.011545397,Sox9/Med12/Rps7/Fuz/Stil/Lias/Tctn1/Bbs4/Ift172/Ift57/Opa1/Ift52/Ift122/Cc2d2a/Brpf1/Brd2,16
GO:0031146,GO:0031146,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,8/1349,51/28928,0.156862745,3.363769822,3.736651978,0.00233535,0.014966885,0.011656378,Skp1/Fbxl5/Rbx1/Skp2/Cul2/Cul1/Ccnf/Fbxw11,8
GO:0006098,GO:0006098,pentose-phosphate shunt,5/1349,21/28928,0.238095238,5.105722052,4.162613579,0.002382093,0.015165403,0.011810986,Pgd/Rpe/Tkt/Mtor/Rptor,5
GO:0021756,GO:0021756,striatum development,5/1349,21/28928,0.238095238,5.105722052,4.162613579,0.002382093,0.015165403,0.011810986,Bbs4/Bbs1/Mkks/Ogdh/Bbs2,5
GO:0044027,GO:0044027,negative regulation of gene expression via chromosomal CpG island methylation,5/1349,21/28928,0.238095238,5.105722052,4.162613579,0.002382093,0.015165403,0.011810986,Prmt5/Dnmt1/Ctcf/Brca1/Usp7,5
GO:0097401,GO:0097401,synaptic vesicle lumen acidification,5/1349,21/28928,0.238095238,5.105722052,4.162613579,0.002382093,0.015165403,0.011810986,Atp6v0c/Atp6v1b2/Atp6v1g1/Atp6v1d/Atp6v0d1,5
GO:0018342,GO:0018342,protein prenylation,4/1349,13/28928,0.307692308,6.598163882,4.465027119,0.00239901,0.015165403,0.011810986,Rabggta/Fnta/Fntb/Cox10,4
GO:0033313,GO:0033313,meiotic cell cycle checkpoint signaling,4/1349,13/28928,0.307692308,6.598163882,4.465027119,0.00239901,0.015165403,0.011810986,Rad1/Knl1/Hus1/Ttk,4
GO:0046761,GO:0046761,viral budding from plasma membrane,4/1349,13/28928,0.307692308,6.598163882,4.465027119,0.00239901,0.015165403,0.011810986,Chmp6/Chmp4b/Chmp3/Chmp7,4
GO:0072711,GO:0072711,cellular response to hydroxyurea,4/1349,13/28928,0.307692308,6.598163882,4.465027119,0.00239901,0.015165403,0.011810986,Rad51/Nsmce3/Rtf2/Timeless,4
GO:0097354,GO:0097354,prenylation,4/1349,13/28928,0.307692308,6.598163882,4.465027119,0.00239901,0.015165403,0.011810986,Rabggta/Fnta/Fntb/Cox10,4
GO:1904668,GO:1904668,positive regulation of ubiquitin protein ligase activity,4/1349,13/28928,0.307692308,6.598163882,4.465027119,0.00239901,0.015165403,0.011810986,Plk1/Skp1/Mastl/Cdc20,4
GO:0007034,GO:0007034,vacuolar transport,17/1349,169/28928,0.100591716,2.157092038,3.336512701,0.002421812,0.015288719,0.011907026,Vps25/Chmp6/Rab34/Hgs/Chmp4b/Snf8/Vps29/Vps36/Ptpn23/Vps51/Atp6v0d1/Vps53/Tsg101/Chmp3/Gga3/Chmp7/Pik3r4,17
GO:0048145,GO:0048145,regulation of fibroblast proliferation,14/1349,127/28928,0.11023622,2.363909107,3.406841442,0.002446046,0.015420727,0.012009836,Ccna2/Ccnb1/Men1/Cdc73/Sod2/Dicer1/Fntb/Med31/Kmt2a/Brpf1/Cd300a/Ctc1/B4galt7/Uts2r,14
