,id,num,neg.score,neg.p.value,neg.fdr,neg.rank,neg.goodsgrna,neg.lfc,pos.score,pos.p.value,pos.fdr,pos.rank,pos.goodsgrna,pos.lfc
529,H4c8,4,3.8572e-05,0.0001336,0.00513,556,4,-2.1905,0.99892,0.99891,1,19841,0,-2.1905
530,Atp5b,4,3.8594e-05,0.00013406,0.005138,557,4,-1.6385,0.99996,0.99996,1,20718,0,-1.6385
531,D830030K20Rik,8,3.8729e-05,0.00024271,0.007462,558,6,-1.5711,0.95745,0.95769,1,18344,0,-1.5711
532,Gm11353,2,3.8949e-05,8.0437e-05,0.003981,559,2,-4.5805,0.99996,0.99996,1,20717,0,-4.5805
533,Rtf2,4,3.9488e-05,0.00013733,0.005226,560,4,-1.875,0.99996,0.99996,1,20715,0,-1.875
534,Ipo7,4,3.9588e-05,0.00013733,0.005226,561,4,-2.0167,0.99996,0.99996,1,20714,0,-2.0167
535,Plrg1,4,4.0143e-05,0.00013919,0.005278,562,4,-2.2531,0.99996,0.99996,1,20713,0,-2.2531
536,Tubg1,4,4.0194e-05,0.00013919,0.005278,563,4,-2.1504,0.99996,0.99996,1,20712,0,-2.1504
537,Mrps15,4,4.0244e-05,0.00013966,0.005286,564,4,-1.8007,0.99996,0.99996,1,20711,0,-1.8007
538,Slc35b1,4,4.1141e-05,0.00014246,0.005363,565,4,-1.7902,0.99996,0.99996,1,20709,0,-1.7902
539,Higd2a,4,4.127e-05,0.00014246,0.005363,566,4,-1.7487,0.99996,0.99996,1,20708,0,-1.7487
540,Prim1,4,4.1296e-05,0.00014292,0.005371,567,4,-1.9611,0.99996,0.99996,1,20707,0,-1.9611
541,Gm16367,8,4.139e-05,0.00026369,0.007831,568,7,-0.88765,0.99736,0.99735,1,19585,0,-0.88765
542,Sgo1,4,4.14e-05,0.00014385,0.005397,569,4,-1.7891,0.99996,0.99996,1,20706,0,-1.7891
543,Gm6457,3,4.1506e-05,0.00012987,0.005032,570,3,-3.4251,0.99996,0.99996,1,20705,0,-3.4251
544,Chmp4b,4,4.1556e-05,0.00014525,0.00543,571,4,-2.4074,0.99996,0.99996,1,20704,0,-2.4074
545,Cenph,4,4.1634e-05,0.00014525,0.00543,572,4,-1.4422,0.99996,0.99996,1,20703,0,-1.4422
546,Rpp38,4,4.1817e-05,0.00014619,0.005446,573,4,-2.5512,0.99996,0.99996,1,20702,0,-2.5512
547,Snf8,4,4.1843e-05,0.00014619,0.005446,574,4,-2.4677,0.99996,0.99996,1,20701,0,-2.4677
548,Mettl17,4,4.2368e-05,0.00014945,0.005557,575,4,-1.7103,0.99996,0.99996,1,20700,0,-1.7103
549,Hjurp,4,4.258e-05,0.00014992,0.005565,576,4,-1.4672,0.99996,0.99996,1,20699,0,-1.4672
550,Mybbp1a,4,4.2819e-05,0.00015131,0.005605,577,4,-1.8732,0.99996,0.99996,1,20698,0,-1.8732
551,Supt6,4,4.3032e-05,0.00015178,0.005605,578,4,-3.1678,0.99996,0.99996,1,20697,0,-3.1678
552,Rbm17,4,4.3086e-05,0.00015178,0.005605,579,4,-1.8731,0.99996,0.99996,1,20696,0,-1.8731
553,H4c14,5,4.3163e-05,0.00019608,0.006415,580,5,-1.6139,0.99996,0.99996,1,20695,0,-1.6139
554,Nfu1,4,4.322e-05,0.00015271,0.005617,581,4,-1.5427,0.99996,0.99996,1,20694,0,-1.5427
555,Dnajc19,4,4.3461e-05,0.00015318,0.005617,582,4,-1.9405,0.99996,0.99996,1,20693,0,-1.9405
556,Gli2,4,4.3677e-05,0.00015318,0.005617,583,4,-2.1979,0.99996,0.99996,1,20692,0,-2.1979
557,Rnaset2a,8,4.3768e-05,0.00028141,0.008119,584,7,-0.64025,0.99933,0.99932,1,19957,0,-0.64025
558,Tbca,3,4.4042e-05,0.00013733,0.005226,586,3,-2.5462,0.99996,0.99996,1,20690,0,-2.5462
559,Mcm3,4,4.4084e-05,0.00015551,0.005659,587,4,-2.3007,0.99996,0.99996,1,20689,0,-2.3007
560,Dcaf7,4,4.4329e-05,0.00015644,0.005659,588,4,-1.573,0.99996,0.99996,1,20688,0,-1.573
561,H2ac11,4,4.4548e-05,0.00015644,0.005659,589,4,-1.2612,0.99996,0.99995,1,20687,0,-1.2612
