Gene Symbol	DMSO_A	DMSO_B	DMSO_C	AZA_2h_A	AZA_2h_B	AZA_2h_C	AZA_48h_C	AZA_48h_B	AZA_48h_C			
Gm28320	0	0	2	2	4	0	0	0	0			
Gm29325	0	0	2	0	0	0	0	0	0			
9330175M20Rik	0	0	0	2	2	4	1	0	2			
Cavin2	554	605	465	661	540	548	1022	1118	1154			
Gm5253	0	0	0	0	0	0	0	0	0			
1700072G22Rik	0	0	2	0	0	1	0	0	0			
Rnasel	27	16	18	4	40	28	38	24	57			
Gm28512	0	4	6	0	2	0	5	1	0			
Arfgef1	6611	6438	5828	6210	5841	5739	4697	5199	6427			
7SK	0	0	0	0	0	0	0	0	0			
Gm37569	0	2	0	0	0	0	0	0	0			
Dock10	180	164	205	157	165	153	74	166	143			
Cpa6	0	0	0	2	0	0	0	0	0			
Gm38005	0	0	0	0	0	0	0	0	0			
Gm15604	2	2	0	2	0	0	1	2	0			
Gm25253	0	0	0	0	0	0	0	0	0			
Rgsl1	0	0	0	2	0	0	0	0	1			
Gm15603	0	0	0	0	0	0	0	0	0			
Gm37133	0	0	0	0	0	0	0	0	0			
Gm37645	0	0	0	0	0	0	0	0	0			
Gm38062	0	0	0	0	0	0	0	0	0			
Gm5522	0	0	0	0	0	0	0	0	0			
A630081D01Rik	0	0	0	0	0	0	0	0	0			
Gm28659	0	0	0	0	0	0	0	0	0			
SNORA66	0	0	0	0	0	0	0	0	0			
Gm29124	2	0	1	0	0	0	0	0	0			
Gm28066	0	0	0	0	0	0	0	0	0			
Teddm2	31	27	32	47	34	26	30	19	19			
Teddm1b	0	0	0	0	0	0	0	0	0			
Gm38352	2	0	0	0	0	0	0	0	0			
Teddm1a	0	0	0	0	0	0	0	0	0			
Mir8114	0	0	0	0	0	0	0	1	0			
Nabp1	456	401	341	371	406	380	352	404	537			
Gm17767	0	0	2	3	2	0	0	0	0			
Gm37535	0	0	0	0	0	0	0	0	0			
Gm28055	0	0	0	0	2	2	0	2	2			
Nyap2	6	18	10	8	14	19	6	8	14			
Gm37210	0	0	0	0	0	0	0	0	0			
Gm6198	0	0	0	0	0	0	2	2	0			
Gm5530	2	0	0	2	0	0	0	0	0			
Gm7516	0	0	0	0	0	0	0	0	0			
Gm37114	2	0	0	0	0	0	0	0	0			
Mir6344	0	0	0	0	0	0	0	0	0			
Glul	11981	12226	11164	11543	10772	11198	9350	9909	11208			
Gm29290	0	0	2	0	2	0	0	2	0			
Gm29291	0	0	0	0	0	0	0	0	0			
Irs1	10567	10345	9565	10453	10980	10424	6473	7222	8567			
Gm28286	0	0	0	0	0	0	0	0	0			
Gm9747	10	30	21	12	27	21	10	4	17			
A830008E24Rik	0	0	0	0	0	0	0	0	0			
Gm25336	0	0	0	0	0	0	0	0	0			
Zfp648	0	0	0	0	0	0	0	0	0			
Prex2	25	14	22	30	20	10	12	20	16			
4930452N14Rik	0	0	0	0	0	0	0	0	0			
4930532M18Rik	0	0	0	0	0	0	0	0	0			
5S_rRNA	0	0	0	0	0	0	0	0	0			
Gm18727	0	0	0	0	0	0	0	0	0			
Gm24173	0	0	0	0	0	0	0	0	0			
Gm28686	0	0	0	0	0	0	0	0	0			
Gm37410	0	0	0	0	0	0	0	0	0			
Rhbdd1	1606	1711	1489	1839	1632	1708	985	1098	1249			
Gm19552	4	2	4	0	0	0	0	4	4			
Gm28940	0	0	0	0	0	0	0	0	0			
Col4a4	26	26	26	34	36	24	79	72	81			
Col4a3	0	2	0	0	0	0	0	0	2			
5S_rRNA	0	0	0	0	0	2	0	0	0			
Cacna1e	25	30	16	7	11	18	19	16	24			
C430014B12Rik	4	21	12	17	19	22	8	4	5			
Gm29282	1	3	2	6	3	1	6	7	5			
Gm29441	0	0	0	0	0	0	0	0	0			
Gm9530	33	27	20	29	44	22	37	35	35			
Ier5	34278	35214	32377	27961	27378	26393	17590	19635	20692			
Mr1	5370	5353	4797	4648	4528	4354	3493	3931	4759			
A830018L16Rik	7	18	8	14	16	13	4	14	2			
Stx6	9104	8720	8277	8900	8835	8424	5767	6447	7137			
Gm38178	0	0	0	0	0	0	0	0	0			
Gm29273	0	0	0	0	0	0	0	0	0			
